"Name","BM1014.1","BM1126.1","BM1284.5","BM374.4","BM943.1","X4959BM1","BM1072.1","BM1284.1","BM374.1","BM911.1","BM943.4"
"DPM1",9.6892296610125,9.58081444359061,10.0533429217561,9.85648218636482,9.6023825953121,9.79916143240858,9.33395244834481,9.6892296610125,9.89193098878899,9.85328374886784,10.1514767093215
"LASP1",11.7102868941982,11.5003921645393,11.2199942161505,11.9502995877811,11.6706106043576,12.31023533491,11.6282751795103,11.7102868941982,11.3544508640991,12.3050222914857,10.6519960081706
"RBM6",11.703693474331,11.6796233410156,11.5592725955626,11.3825761672099,11.6568653007144,11.6484655958247,10.9991208709802,11.703693474331,11.563404059213,11.4992823458358,11.8071472234277
"HOXA11","-Inf",-2.96470266893664,"-Inf","-Inf","-Inf",3.6494902667871,"-Inf","-Inf","-Inf","-Inf",-2.03243590471492
"CREBBP",11.7786748228776,11.6422528481919,10.9383980856005,11.5029538667124,11.7281774291679,11.7776717344303,11.8944516720189,11.7786748228776,11.5524665810732,11.9418092832449,10.9182110774335
"BAIAP2L1",-0.468397457560326,0.270556450500592,1.29345818515434,"-Inf",0.485654548914132,2.08568298567512,0.089056054364727,-0.468397457560326,-0.625130781944895,2.06034004463233,-3.51218439977062
"ETV1",1.70350784016629,3.08553819093308,3.62493923943269,"-Inf","-Inf",4.72155842594901,-1.31983410073584,1.70350784016629,0.179977223410473,3.16379996003207,0.078783330201527
"GAS7",9.56795353216426,10.918688189593,9.89192701342557,7.01281553736883,11.7094223170839,12.6596084306432,11.0817672602565,9.56795353216426,9.13751585525605,10.8405198893804,8.89586425289736
"TEAD3",2.00877872587514,2.59438062345087,-1.20907452758783,0.566458636454532,1.3257024373383,6.12755489089062,3.60945310858341,2.00877872587514,-0.214673768684631,3.3587629378566,1.7277044152215
"TENM1",3.70627116459006,0.740383614631616,6.2834510051416,8.59602008597642,2.82829462918438,7.23987159638786,3.17469579144741,3.70627116459006,4.55733423425213,4.60327993791233,1.10177040770804
"PAX7","-Inf","-Inf","-Inf",1.20775919318227,"-Inf","-Inf",2.8857143321883,"-Inf","-Inf","-Inf",-1.31534999807922
"ZNF207",12.9043853892483,12.7728880526668,13.3595082049225,12.8025206447332,12.778831842815,13.0785659098671,13.1012797910323,12.9043853892483,12.8712783442108,13.030465960914,13.3087329758807
"MBTD1",9.97324822582279,9.56708814642322,10.3254646015498,9.75637176750832,9.77084375530358,9.26664069699628,9.42389321141388,9.97324822582279,10.3659184567057,9.26555962764776,10.2452730506285
"ERCC1",11.2997963473834,11.453628696427,11.5382999037289,11.6374465435646,11.4629529927499,11.630418609155,11.4477339756795,11.2997963473834,11.372253058441,10.7984348567809,12.0636675311038
"TACC3",10.8695587076755,11.0602144741412,10.4256218824613,10.339062545178,9.65478475090715,11.2814651719315,10.6802673621604,10.8695587076755,10.9487811804023,11.7557348641551,9.64056422642969
"CCDC88C",9.80451100347768,9.83139792961723,9.66837419930683,9.83508445683569,10.5155057719091,11.4011537330113,10.2809520941367,9.80451100347768,10.3810005018674,11.0013178338133,9.38572237479355
"ZMYND11",10.9312884053705,10.8872671336354,10.5580495609324,11.0006745403155,11.1576787379086,10.5917947975972,10.8598580598279,10.9312884053705,10.8337505955384,10.5659147095459,11.1015614096629
"WWTR1",2.83022002720368,"-Inf",1.11175581753144,1.08557150180865,-0.036185588099133,2.69609933972099,0.567683674959417,2.83022002720368,0.443012478238244,2.88487803254797,-0.29634997567502
"CD74",16.2880710103099,16.4704819999204,15.3341584265718,16.9150767330712,16.5187441068091,15.6828852815979,16.8027038995135,16.2880710103099,16.075481887443,16.171372072463,15.667522100635
"ZFP64",8.90643900647461,9.49348548359388,8.65872760384673,9.23778448122243,9.22345487602047,9.16767014884507,8.96714245325922,8.90643900647461,9.0739364248904,8.90318058879212,8.7559965149657
"BIRC3",5.54861898462024,5.53332035573108,6.13440837113467,4.83228268891196,6.62527887779189,10.2892370193662,6.44632541803165,5.54861898462024,6.09448628140569,9.73149575882914,5.58512212008575
"CCDC28A",8.24676800350161,8.27891295582548,8.90202902817588,8.22207352472778,8.57164413207282,8.77620769779641,8.24070612717681,8.24676800350161,8.49150366132829,8.63049174198476,8.93853263701427
"RABEP1",10.3456283759057,10.1485132960755,10.414689688602,10.4268908742809,10.5665016076993,10.72469633568,10.0457063148023,10.3456283759057,10.6083612031828,10.2535500760128,10.6561633452902
"PHF23",9.14789876054223,9.3204391801467,9.5485007025924,9.42118450207502,9.5936625181577,8.79661435880581,8.54018585374229,9.14789876054223,9.50039016265996,8.84433725664721,8.9783552035475
"OFD1",10.5314978247751,10.5611211156701,10.7574140540836,9.77090683320646,10.5314632385367,10.2908618166829,9.93593888402514,10.5314978247751,10.5023844226852,9.9679869148846,11.9329149702173
"ROS1",-0.836125185532901,-0.114227303096649,-1.1216560276384,"-Inf",-4.28360429891651,-4.5305890975605,"-Inf",-0.836125185532901,-1.69365375621325,"-Inf","-Inf"
"TNFRSF17",3.68976432672786,3.82023186877473,3.23838425482093,3.65425817194374,4.17769084877906,7.24694174959136,4.39459816867521,3.68976432672786,4.26266090986865,6.07636187827178,3.25664355955522
"LTBP1",7.79878521017305,4.088749745139,7.04583820081856,4.39250949453228,1.86955322822056,7.44739468243521,2.57997442565657,7.79878521017305,6.40088658998305,6.87370133841208,5.47760668040068
"ELN",4.70951364061025,-0.360995721829799,3.32247852230009,8.85088922317229,0.860880979934992,1.87317614624742,2.96301886336934,4.70951364061025,5.18252164265745,3.22189826518952,1.95284419749225
