"Name","BM1075","BM1077","BM1078","BM1079","BM1092","BM1115","BM1116","BM1141","BM1146","BM1152","BM1153","BM1158","BM1161","BM1170","BM1179","BM1181","BM1182","BM1186","BM1189","BM1206","BM1260","BM1277","BM1284.1","BM1284.5","BM1292","BM1314","BM1324","BM1495","BM1471","BM1489","BM1490","BM1498","BM1500","BM1501","BM1503","BM1505","BM1507","BM1519","BM1523","BM1526","BM1532","BM770","BM810","BM821"
"FGR",8.24505991441278,9.01810418701129,3.54609447589127,7.14525370318596,7.18202583060489,7.59752659316856,8.18580390661156,7.18141323555569,5.46299604581123,5.49238500007577,7.53434218392851,6.22779792087708,2.14192385148819,9.45367441274533,7.74684228452257,6.95839509202495,11.0903351499521,6.27675743265015,8.82264713642672,12.156051989416,11.9026856460452,11.1939616450951,9.07917457104396,9.60085398475523,9.87218435290173,12.2391306899636,10.3183553013908,9.44153015244905,8.4220225740866,5.69978899918067,6.33509365606137,3.38887214106342,3.35765911195196,6.23523621882048,7.0799010199638,4.88981670153834,6.83312768492223,9.80738313806281,11.3634211364981,7.56349881550195,8.54216753793732,9.77312148701818,6.79505164281939,11.957547848899
"CREBBP",10.9748590700226,11.3692316405314,11.0596042178691,10.7346917354377,11.1376678034715,11.8486550279104,11.5000570610588,11.109455374202,11.5772215791662,11.3597257287578,11.6340315256929,11.6071907604728,11.5330463813713,11.7939165250093,11.2533845915663,11.2421260593701,12.1726099952134,11.6053338971317,11.48902083941,10.1545158758133,10.7408861872821,10.9327942541722,11.4822007628569,10.2362459100692,11.1857256490053,10.7298063371356,10.9188918852175,10.6750853201056,11.6635553104383,9.70842663164778,9.73251893564392,9.36342940322012,9.41407500424615,9.57621162614946,9.47984124792465,10.0128717017699,9.32258740687736,10.9892913111706,10.2738291012806,11.2544942758667,9.65261982869851,9.44225544610114,11.6600462048735,11.3158513328944
"PROM1",4.19251463212564,3.35549769322369,4.94424324879634,1.97500205721205,10.1712854674095,4.82325385823238,11.0742330669644,2.61345032222858,11.4165813926392,6.37335040291443,8.45965794416111,2.76015067326228,10.2008436087494,11.6693168503756,2.60597594197549,3.014334045208,4.85997491360583,10.6617897978032,10.2516865961022,6.98589153981915,8.78555805485861,11.1861219229558,7.52804555826536,8.51735818119281,11.5810104401757,10.3672070275237,10.767931000363,2.16609517769922,10.4101520709556,8.45449853424733,12.4016355939031,9.10106717758372,11.4863438646822,7.73179689467727,10.0261350978086,7.18720368822055,6.24196694757812,4.99164700648729,8.22945580743021,7.96319730342793,11.8242174613785,3.82569324318834,6.62786792363055,5.24817882421612
"BTK",11.8106249813401,11.4929494604901,12.3383428157206,4.65637062979652,10.4859597168055,12.6269668301451,11.3734189546502,12.068789816813,11.306233088169,11.8258045842532,11.0432848363679,11.3218942734362,11.6575956575689,10.77743271796,11.5255406171424,11.2198292741395,9.31906931425462,11.1214182939845,10.8531508665986,10.1372811184462,10.7988184623158,11.2525115418962,11.1914489178679,10.974516397317,11.385583596069,11.8086316561105,10.8875710860912,10.9157691578022,11.6698521979083,11.7998960738838,11.0233874227789,11.5972506922928,11.7618522884109,12.0073877925536,11.9582342510272,10.9155709235008,11.1536906434699,11.3217163317267,10.698089657687,10.6626537001816,11.5228080901429,12.4135284735087,10.2894826455111,10.5857456273957
"FYN",10.6523718142099,9.5345790071212,10.2322815858476,10.9393373641244,10.9675477285441,10.5354233580441,11.5320474336858,9.92661917713002,11.1527620209748,11.4645269114521,11.5567924586851,8.03802252841737,10.2594885361013,11.912271937565,10.5611061512719,10.2556376009316,9.29547386909573,11.9287571074695,12.195153863134,10.6934865271301,10.9201256495329,10.0982079270283,10.4248514828734,10.1625895044322,10.6565955318718,11.1646511611755,9.52194756338385,9.45083914740881,11.1567561527066,10.3640728148256,11.5438172732711,9.01094750762803,11.1726001541566,10.0365031084552,12.1848696343981,10.2634495494573,10.6510319176877,11.1670393108689,11.2377625284427,9.90266323578214,10.9112752251947,9.22229401120392,11.3449480528657,11.1839237824897
"BRCA1",9.29290541960351,9.26830849755745,9.25353982375709,8.46473918306527,9.62841046116863,9.13789989535364,9.51293467144017,9.21442021763522,10.0976518050399,9.48396496154635,9.37018320576009,10.0588632925014,9.88742202266016,8.06086802359449,9.08864441777173,9.25626047362601,8.28591611979979,10.7322145062852,10.3656910763771,9.13511011368144,9.54575591144523,9.37307943998205,9.68576278350855,9.90087857585737,9.56797532452642,9.54641828616399,7.38328051848243,9.22073863236728,9.64742588270135,10.0800119325435,10.3276772572374,10.4394405868574,10.3193737920202,8.79755670133539,9.66355579341288,9.06165963532113,10.1717050638954,10.2977694061377,9.26530038980114,10.2550873389647,9.27025025527403,10.7711771499945,9.34857524700659,9.58013070757994
"MAP4K5",9.02814076917479,10.0122815961719,8.87037405699609,8.74080226323387,9.60163137499703,8.76727548813504,9.22205732938184,8.15891443702803,9.4788572360222,8.76169890500137,9.48328211715718,8.87387546920967,9.74318456224976,8.45266523778342,9.65447855675124,10.7835855953607,11.0681354067447,10.1280419574903,9.77191871965707,9.14230412364562,8.97240365531115,9.56316192174425,9.29702177893497,9.61589942421825,9.11084431033626,9.14771836684599,9.33405978640454,8.46299903446636,9.8519986201212,9.43081855251231,9.91905083206755,9.60491413937439,9.70616640013777,9.0118406366691,10.0090409707683,9.77026777209313,9.15831771172176,9.25912265603672,9.46969440648317,9.31374708399779,10.1361326274091,9.51425228430481,9.73801885599727,9.2223718040143
"GPRC5A",-1.3553573518739,-1.71678463982574,-2.37566885417324,-2.22893591423023,-1.56442687477181,-3.99748613130558,-1.20528054977224,0,-1.96136716445853,0,-1.55675831166437,-2.37107153041036,-2.12452187310016,-1.59741751597264,0,0,6.24523321494276,-2.44051406037452,1.35980563329741,-3.01475607161434,0,0,-1.67002453210081,-1.76970351581409,-1.02361583304807,1.19912578376767,3.26347856730295,-1.16267028615835,0,-3.78557673689188,-3.477413886651,-1.29846691148396,-1.58753712193656,2.04527940013244,0,-0.136491251316201,-2.57001025549391,1.10726001834627,-3.21434734379856,0,-3.05203318061145,2.43957978957103,-3.12010606837507,-1.55492594068431
"POLA2",8.66585682437496,8.95881451980061,8.61777171972522,8.96957927267026,8.99285404010421,8.66524517378816,8.66917143181696,8.03345079792832,8.71253727982031,8.6508381672789,8.73550614387784,10.087506923662,9.31158799554993,8.12410878256301,8.52730468168089,9.47424482116267,8.20288817130798,9.48656417563959,8.95151748013402,8.65665499321748,9.33269920316126,8.80612686893242,9.34743688889199,8.8056697560215,9.29101281401997,9.04677373653297,7.99077425701926,8.76965983085109,8.74714670772287,9.01323288711959,9.04159135432755,9.48378682434099,8.54754069265655,7.98012408786786,8.27067201811725,8.86035780089613,8.9033050891721,9.44386716957703,8.6890627390868,9.55909365581012,8.21939479766349,8.76576484649036,8.60423234988048,9.08026815451776
"WAS",9.92151072439725,10.0092947550222,10.0762826605886,9.35964977595432,9.94443170300631,9.97720162225048,10.8726352944839,9.83675459399497,10.9311037969012,10.7832269357365,10.8593918694119,10.0228445033614,10.8499695479713,11.3406286793801,9.69120754825886,10.0449204676698,10.6979030999556,10.8741144807937,11.3922217825601,10.2143005101576,10.9331666092362,10.6976913020588,9.70737951604432,9.14820315602595,11.1484613276631,12.7745821405624,10.4966594207949,10.3312543094391,11.3186347653063,9.49953639978901,8.91303971887396,8.59657147555411,9.88987826113349,9.33008334657168,10.427686247425,9.01999853922634,8.77287346584976,9.48453140618911,10.0558252775381,9.5661897498027,9.71155920185407,8.9038831528956,9.99975627807208,10.7454055787461
